id,gem_threshold,title,prize_name,prize_description,icon
077d19bd-c9f3-4d21-a2e8-b7930e18b84d,40,Cap,Hidden Bonus,Hidden end-of-path bonus,🏰
07a1a2bd-7aa3-49bb-a269-924aaedf094e,24,Great+,Spotify Premium (3 Months),3 months Spotify Premium,🎧
15709d40-1641-4708-a898-4ddfbafb85df,15,Satisfactory,Spotify Premium (1 Months),1 month Spotify Premium,🎵
36d85c68-a789-41a1-8f63-26a66800d04f,26,Excellent,Cow Angry (牛氣),牛氣放題,🍜
41ebf43c-da66-44de-9fc4-847e1161063a,31,Superb+,Airpods (Any Model),AirPods any model,👂
474a2f23-48f1-40a7-942d-b993682d04a2,33,Outstanding,Spotify Premium (11 Months),11 months Spotify Premium,👑
68df6bd3-6c25-487e-8a36-af78281f217a,29,Superb,Spotify Premium (5 Months),5 months Spotify Premium,🎶
94f3e4d4-beae-4dd9-b065-e861e1638627,23,Great,Volleyball Stuff,Volleyball gear,🏐
c4c28784-0da3-418e-bb5c-1bf1f07544c4,21,Good,Meccha Chemeleon,Meccha Chameleon prize,🦎
eb50e892-703e-47b3-8730-ad77292dd7ba,28,Excellent+,Apple Pencil,Apple Pencil,✏️
