id,task_no,category,exp,gem,title,description,requires_proof
0489b6c7-84b1-4b56-9201-ceee3747083e,Math_S3_E2_P1,math_s23,5,2,Math S3 E2 P1,Secondary 3 math exercise,false
0ac04b89-8ae0-4564-81ee-d81e7ff20de1,Eng_Speak_1,eng_speaking,10,0,English Speaking 1,Speaking practice 1,false
1590c653-91c4-4925-a6f3-7bab215c2fc5,Math_S3_E1_P1,math_s23,15,1,Math S3 E1 P1,Secondary 3 math exercise,false
202611ba-3386-48f9-ba64-a4fed26ca4b7,Math_S4_E1_P2,math_s4,15,2,Math S4 E1 P2,Secondary 4 exam practice,false
2329e62a-ecac-44c4-89d8-294e5d2bd80b,Eng_Writing_B3,eng_writing,5,1,English Writing B3,Writing assignment B3,false
2a2d488f-c18c-4e1e-ae38-ee563b7f1f31,Math_S4_Q_Ch1,math_s4,0,1,Math S4 Quiz Ch1,Secondary 4 quiz chapter 1,false
5f67ce9f-0da9-42db-81e7-aef411a93bf4,Soc_Project_1,community,0,2,Community Project 1,Requires location + photo proof,true
61f5b79f-6ae8-4972-95a1-dfd2a31263b5,Eng_Writing_B2,eng_writing,15,1,English Writing B2,Writing assignment B2,false
7123548b-1bd1-4170-bdea-956fc599ad5e,Soc_Project_2,community,5,1,Community Project 2,Requires location + photo proof,true
73079ea1-5f91-4f87-bdc5-d26865c40fb6,Math_S2_E2_P1,math_s23,5,1,Math S2 E2 P1,Secondary 2 math exercise,false
88be1312-aacd-4c50-9277-f864d0591a69,Math_S3_E1_P2,math_s23,15,1,Math S3 E1 P2,Secondary 3 math exercise,false
968da6ec-8169-4dfc-9200-52135c343ba2,Math_S4_E1_P1,math_s4,15,2,Math S4 E1 P1,Secondary 4 exam practice,false
9c42a268-a44e-4049-a5f0-3f89edab9986,Eng_Vocab_2,eng_vocab,10,0,English Vocab 2,Vocabulary set 2,false
ae1e707f-324f-44cf-bf2f-e3f318ab284f,Eng_Vocab_1,eng_vocab,15,0,English Vocab 1,Vocabulary set 1,false
b13435c1-727d-485b-be15-88354688cb34,Math_S4_Q_Ch3,math_s4,5,1,Math S4 Quiz Ch3,Secondary 4 quiz chapter 3,false
b907b226-7aa1-485c-b63b-2bd1cbc3ac50,Math_S3_E2_P2,math_s23,5,2,Math S3 E2 P2,Secondary 3 math exercise,false
c2d8d5d1-3234-4b4c-9ec7-fac0a594b9eb,Math_S4_Q_Ch4,math_s4,5,2,Math S4 Quiz Ch4,Secondary 4 quiz chapter 4,false
c43f94a3-125b-4020-bdbb-afecd04d4012,Eng_Vocab_3,eng_vocab,5,0,English Vocab 3,Vocabulary set 3,false
d1596976-f49a-40e0-874c-bd05c87782f6,Math_S2_E2_P2,math_s23,5,1,Math S2 E2 P2,Secondary 2 math exercise,false
d30ca43a-ff22-4a05-a5df-fc56b2fb48f0,Eng_Speak_3,eng_speaking,5,0,English Speaking 3,Speaking practice 3,false
d66af6c0-27af-44e1-b323-ada828473c02,Eng_Speak_2,eng_speaking,5,0,English Speaking 2,Speaking practice 2,false
db07dfe3-9b33-4884-9578-6967d66e1ba2,Math_S4_Q_Ch2,math_s4,10,1,Math S4 Quiz Ch2,Secondary 4 quiz chapter 2,false
f5949257-ae12-4a79-bdfb-0e16785d12aa,Eng_Writing_A1,eng_writing,5,1,English Writing A1,Writing assignment A1,false
